Texture,EC,pH,OM,P,K,Sp,Aspect,Elevation,Slope,CVI,EVI,NDVI,SI1,SI2,SI3,SI4,SI5,SI6,SI7,SARVV,SARVH,TWI
Loam,5,8.2,0.17,9.46,134,36,180,106,0.92741,2.0304,0.288521,0.237511,0.226408,0.246788,0.350105,0.497552,0.549555,0.560456,0.653704,-10.787169,-16.148904,-16.20185
Loam,5.1,8.1,0.3,2.34,66,36,270,107,3.1857,2.04137,0.375396,0.307828,0.193118,0.21206,0.300011,0.462185,0.506832,0.52571,0.666813,-5.492736,-15.900568,-16.43662
Loam,5.19,8.8,0.47,7.09,112,32,229.043,151,1.41467,2.11552,0.324473,0.347801,0.195514,0.215713,0.305075,0.498139,0.542341,0.553554,0.672658,-12.176189,-18.452596,-16.78319
Loam,5.4,9.19,0.41,7.19,116,32,0,148,0.92741,1.95623,0.28584,0.237938,0.222631,0.243662,0.345334,0.48691,0.539615,0.549167,0.643449,-9.466819,-14.75315,-16.20185
Loam,5.59,8.6,0.46,7.19,106,36,29.871,156,2.13818,2.03324,0.320768,0.291591,0.183424,0.202764,0.286965,0.433291,0.476102,0.485812,0.662416,-11.331567,-14.8471,-12.74154
Loam,5.69,9.19,0.41,4.19,98,34,0,155,0.92741,1.89144,0.302784,0.272009,0.188138,0.204768,0.2897,0.420492,0.465955,0.472287,0.626179,-9.763349,-16.211661,-13.6369
Loam,5.8,9.19,0.66,7.3,111,34,29.9457,162,2.13978,1.79093,0.20719,0.184234,0.210474,0.228151,0.323544,0.42386,0.475943,0.482577,0.605648,-9.755923,-15.617622,-17.15952
Sandy Loam,6.19,8.1,0.56,6.69,105,30,73.865,158,3.33371,2.10627,0.325301,0.289771,0.293513,0.21209,0.300353,0.456294,0.499972,0.507659,0.665585,-10.541088,-15.763839,-17.42482
Loam,7.5,8.8,0.54,6.5,108,40,246.58,155,2.33216,1.98031,0.37844,0.309884,0.296325,0.214513,0.303401,0.465118,0.511258,0.524662,0.649494,-10.388349,-15.64142,-13.0238
Sandy Loam,7.9,8.19,0.43,6,113,30,180,176,0.92741,1.86847,0.134719,0.119205,0.257017,0.286145,0.408424,0.50951,0.571946,0.577393,0.636316,-19.530645,-22.0395,-10.16671
Loam,8.1,8.3,0.51,4.59,112,32,270,151,1.06175,1.64596,0.116317,0.092933,0.282216,0.324114,0.461151,0.548665,0.62523,0.634425,0.618698,-20.005509,-26.715327,-16.4953
